Canada 1 (TCP),167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116,tcp,1194 443 992 2460 3389 5005 5555
Canada 1 (UDP),167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116,udp,1194 443 992 2460 3389 5005 5555
Canada 2 (TCP),104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228,tcp,1194 443 992 2460 3389 5005 5555
Canada 2 (UDP),104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228,udp,1194 443 992 2460 3389 5005 5555
Germany 1 (TCP),46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130,tcp,1194 443 992 2460 3389 5005 5555
Germany 1 (UDP),46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130,udp,1194 443 992 2460 3389 5005 5555
Germany 2 (TCP),85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175,tcp,1194 443 992 2460 3389 5005 5555
Germany 2 (UDP),85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175,udp,1194 443 992 2460 3389 5005 5555
Germany 3 (TCP),88.198.50.106 88.198.50.106 88.198.50.106 88.198.50.106 88.198.50.106 88.198.50.106 88.198.50.106,tcp,1194 443 992 2460 3389 5005 5555
Germany 3 (UDP),88.198.50.106 88.198.50.106 88.198.50.106 88.198.50.106 88.198.50.106 88.198.50.106 88.198.50.106,udp,1194 443 992 2460 3389 5005 5555
Netherlands 1 (TCP),89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235,tcp,1194 443 992 2460 3389 5005 5555
Netherlands 1 (UDP),89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235 89.248.162.235,udp,1194 443 992 2460 3389 5005 5555
Netherlands 2 (TCP),95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166,tcp,1194 443 992 2460 3389 5005 5555
Netherlands 2 (UDP),95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166 95.211.174.166,udp,1194 443 992 2460 3389 5005 5555
Netherlands 3 (TCP),95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230,tcp,1194 443 992 2460 3389 5005 5555
Netherlands 3 (UDP),95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230 95.211.184.230,udp,1194 443 992 2460 3389 5005 5555
Netherlands 4 (TCP),95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134,tcp,1194 443 992 2460 3389 5005 5555
Netherlands 4 (UDP),95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134 95.211.191.134,udp,1194 443 992 2460 3389 5005 5555
Netherlands 5 (TCP),95.211.191.75 95.211.191.75 95.211.191.75 95.211.191.75 95.211.191.75 95.211.191.75 95.211.191.75,tcp,1194 443 992 2460 3389 5005 5555
Netherlands 5 (UDP),95.211.191.75 95.211.191.75 95.211.191.75 95.211.191.75 95.211.191.75 95.211.191.75 95.211.191.75,udp,1194 443 992 2460 3389 5005 5555
Poland 1 (TCP),178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46,tcp,1194 443 992 2460 3389 5005 5555
Poland 1 (UDP),178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46 178.255.44.46,udp,1194 443 992 2460 3389 5005 5555
United Kingdom 1 (TCP),87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61,tcp,1194 1194 443 992 2460 3389 5005 5555
